"","Date","Value","Index"
"338",1909-03-01,26.72,"ENSO"
"487",1909-04-01,27.09,"ENSO"
"636",1909-05-01,27.5,"ENSO"
"785",1909-06-01,26.59,"ENSO"
"934",1909-07-01,26.22,"ENSO"
"1083",1909-08-01,25.9,"ENSO"
"1232",1909-09-01,25.9,"ENSO"
"1381",1909-10-01,25.49,"ENSO"
"1530",1909-11-01,25.15,"ENSO"
"1679",1909-12-01,25.51,"ENSO"
"41",1910-01-01,25.65,"ENSO"
"190",1910-02-01,26.12,"ENSO"
"339",1910-03-01,26.46,"ENSO"
"488",1910-04-01,26.59,"ENSO"
"637",1910-05-01,26.46,"ENSO"
"786",1910-06-01,26.65,"ENSO"
"935",1910-07-01,26.35,"ENSO"
"1084",1910-08-01,25.98,"ENSO"
"1233",1910-09-01,25.46,"ENSO"
"1382",1910-10-01,25.8,"ENSO"
"1531",1910-11-01,26.13,"ENSO"
"1680",1910-12-01,25.95,"ENSO"
"42",1911-01-01,26.01,"ENSO"
"191",1911-02-01,26.18,"ENSO"
"340",1911-03-01,26.44,"ENSO"
"489",1911-04-01,26.66,"ENSO"
"638",1911-05-01,26.82,"ENSO"
"787",1911-06-01,27.05,"ENSO"
"936",1911-07-01,27.01,"ENSO"
"1085",1911-08-01,26.59,"ENSO"
"1234",1911-09-01,26.97,"ENSO"
"1383",1911-10-01,26.93,"ENSO"
"1532",1911-11-01,27.5,"ENSO"
"1681",1911-12-01,27.55,"ENSO"
"43",1912-01-01,28.13,"ENSO"
"192",1912-02-01,27.59,"ENSO"
"341",1912-03-01,27.95,"ENSO"
"490",1912-04-01,28.35,"ENSO"
"639",1912-05-01,27.87,"ENSO"
"788",1912-06-01,27.44,"ENSO"
"937",1912-07-01,27.12,"ENSO"
"1086",1912-08-01,26.48,"ENSO"
"1235",1912-09-01,26.85,"ENSO"
"1384",1912-10-01,26.6,"ENSO"
"1533",1912-11-01,26.82,"ENSO"
"1682",1912-12-01,26.1,"ENSO"
"44",1913-01-01,26.38,"ENSO"
"193",1913-02-01,26.94,"ENSO"
"342",1913-03-01,27.42,"ENSO"
"491",1913-04-01,27,"ENSO"
"640",1913-05-01,27.58,"ENSO"
"789",1913-06-01,27.53,"ENSO"
"938",1913-07-01,27.08,"ENSO"
"1087",1913-08-01,26.79,"ENSO"
