year,idx,precipitation,maxtemp,mintemp,windspeed
1977,5,96.72,17.15,4.19,2.20
1977,6,11.18,30.30,12.92,2.16
1977,7,1.42,32.03,13.26,2.22
1977,8,4.65,31.92,14.07,2.18
1977,9,81.18,25.33,10.10,1.75
1977,10,22.08,22.16,7.22,1.25
1977,11,134.70,14.69,2.15,1.68
1977,12,307.28,11.20,2.02,2.33
1978,1,631.55,10.08,1.82,2.69
1978,2,272.00,11.53,1.42,2.31
1978,3,340.15,15.62,4.28,1.93
1978,4,299.03,14.57,2.94,2.12
1978,5,18.60,23.23,6.76,1.87
1978,6,5.55,27.10,9.58,1.72
1978,7,10.35,31.76,13.35,1.86
1978,8,1.10,31.31,12.42,2.04
1978,9,44.88,25.61,8.75,1.54
1978,10,0.00,26.20,8.05,1.30
1978,11,104.95,13.79,0.51,1.73
1978,12,91.03,9.77,-3.30,2.54
1979,1,286.40,8.88,-1.66,2.72
1979,2,356.27,9.88,-0.94,1.99
1979,3,172.65,14.23,1.98,1.69
1979,4,128.85,16.57,1.67,1.78
1979,5,44.25,23.98,6.79,2.10
1979,6,1.80,29.81,8.77,2.51
1979,7,2.78,29.16,10.42,2.32
1979,8,33.92,29.09,8.57,2.19
1979,9,4.62,29.79,12.04,1.36
1979,10,187.30,20.02,7.04,1.75
1979,11,168.80,13.28,2.06,1.93
1979,12,309.12,12.74,0.97,3.04
1980,1,409.95,11.38,1.36,2.79
1980,2,417.82,12.61,2.80,2.99
1980,3,93.53,13.65,0.53,1.94
1980,4,104.60,17.84,3.42,1.78
1980,5,57.00,20.90,5.67,2.37
1980,6,29.17,23.82,7.73,2.60
1980,7,5.98,29.97,13.83,2.16
1980,8,0.00,30.51,10.41,2.13
1980,9,5.95,28.14,7.00,1.59
1980,10,37.53,23.89,5.88,1.46
1980,11,57.70,16.37,3.31,2.01
1980,12,291.27,13.81,2.24,2.93
1981,1,319.23,12.37,2.34,2.97
1981,2,100.43,13.38,1.77,2.12
1981,3,220.00,13.46,1.70,1.88
1981,4,64.10,19.54,5.02,1.74
1981,5,51.45,22.71,7.63,2.19
1981,6,0.15,30.14,12.61,2.43
1981,7,0.00,32.63,12.25,2.05
1981,8,0.00,31.60,12.11,1.90
1981,9,33.33,29.13,10.13,1.53
1981,10,219.43,18.33,4.78,1.94
1981,11,597.12,13.39,3.58,2.13
1981,12,426.90,10.15,1.25,2.22
1982,1,246.32,8.37,-4.10,2.88
1982,2,176.88,12.01,-0.28,2.15
1982,3,363.48,10.66,-0.03,2.31
1982,4,256.95,14.93,1.39,2.51
1982,5,3.03,24.36,6.21,1.79
1982,6,36.77,24.82,8.40,2.43
1982,7,2.78,28.59,9.90,2.31
1982,8,1.95,29.96,9.30,1.82
1982,9,45.58,25.30,6.89,1.43
1982,10,195.55,19.58,3.18,1.77
1982,11,298.58,11.64,0.98,2.41
1982,12,221.80,10.04,-0.43,3.10
1983,1,322.70,11.34,1.19,2.97
1983,2,462.37,10.57,2.54,2.92
1983,3,537.60,10.18,2.80,2.30
1983,4,181.62,13.40,2.75,2.18
1983,5,20.42,22.39,7.00,1.98
1983,6,25.30,26.42,9.82,2.34
1983,7,2.15,28.71,10.73,2.30
1983,8,2.17,30.44,13.13,1.66
1983,9,40.40,28.69,11.06,1.37
1983,10,88.02,22.29,7.36,1.38
1983,11,455.42,11.18,1.97,2.54
1983,12,634.53,8.29,0.96,2.44
1984,1,14.80,13.78,-0.02,2.84
1984,2,143.35,12.31,-0.02,2.62
1984,3,129.15,16.34,2.29,1.94
1984,4,74.10,16.66,2.15,2.07
1984,5,14.65,24.76,7.64,2.31
1984,6,38.40,27.38,9.36,2.46
1984,7,0.00,33.24,12.64,1.99
1984,8,31.62,31.43,10.73,1.89
1984,9,11.93,29.86,9.02,1.58
1984,10,100.38,17.79,1.22,1.85
1984,11,401.12,10.27,-1.22,2.39
1984,12,89.65,8.79,-3.41,2.73
1985,1,44.87,10.93,-1.49,2.64
1985,2,109.75,14.20,0.62,2.18
1985,3,175.62,12.22,0.00,2.18
1985,4,14.38,20.84,5.72,1.92
1985,5,4.10,23.19,6.32,2.06
1985,6,1.75,30.28,12.47,2.09
1985,7,0.43,32.78,14.76,2.32
1985,8,1.80,29.62,13.01,1.95
1985,9,77.33,23.31,9.36,1.70
1985,10,42.73,21.07,7.34,1.52
1985,11,238.95,10.84,1.15,1.90
1985,12,121.20,12.12,0.59,3.05
1986,1,344.17,12.51,3.80,2.92
1986,2,568.47,12.62,3.90,3.38
1986,3,262.38,16.77,4.86,1.95
1986,4,73.75,17.72,4.52,1.83
1986,5,50.65,22.24,7.67,1.96
1986,6,3.60,28.95,12.10,2.42
1986,7,0.00,30.85,13.13,2.28
1986,8,0.00,33.22,12.95,1.88
